Date,Conical,EggDonor,SpermDonor,Cross,DayPostFert,Initial.Total,Swimming,On.CCA,Settled,Total.Larvae,Total,Prop.SettledAlive,Prop.Larvae,Dead,Survival,SumTotal,ChangeinSettlement,Initial,Notes
20160802,S20,119,123,BB,28,11,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,0,BL,
20160826,S20,119,123,BB,53,11,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,0,BL,
20160711,S21,123,119,BB,6,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1.00,0,BL,
20160712,S21,123,119,BB,7,10,5,0,0,5,5,0.00,0.50,0.50,0.50,1.00,0.4,BL,
20160728,S21,123,119,BB,24,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,-0.4,BL,
20160802,S21,123,119,BB,28,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,0,BL,
20160826,S21,123,119,BB,53,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,,BL,
20160711,S22,120,124,NBNB,6,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1.00,0,BL,
20160712,S22,120,124,NBNB,7,10,8,2,0,10,10,0.00,1.00,0.00,1.00,1.00,0,BL,
20160728,S22,120,124,NBNB,24,10,4,1,1,5,6,0.10,0.50,0.40,0.60,1.00,0.1,BL,
20160802,S22,120,124,NBNB,28,10,5,0,2,5,7,0.20,0.50,0.30,0.70,1.00,0.1,BL,
20160826,S22,120,124,NBNB,53,10,1,0,6,1,7,0.60,0.10,0.30,0.70,1.00,0.4,BL,
20160711,S23,119,124,BNB,6,10,8,2,0,10,10,0.00,1.00,0.00,1.00,1.00,-0.6,BL,
20160712,S23,119,124,BNB,7,10,8,0,0,8,8,0.00,0.80,0.20,0.80,1.00,0,BL,
20160728,S23,119,124,BNB,24,10,4,0,0,4,4,0.00,0.40,0.60,0.40,1.00,0,BL,
20160802,S23,119,124,BNB,28,10,2,1,0,3,3,0.00,0.30,0.70,0.30,1.00,0,BL,
20160826,S23,119,124,BNB,53,10,1,0,1,1,2,0.10,0.10,0.80,0.20,1.00,0.1,BL,
20160711,S24,124,119,NBB,6,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1.00,-0.1,BL,
20160712,S24,124,119,NBB,7,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1.00,0,BL,
20160728,S24,124,119,NBB,24,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,0,BL,
20160802,S24,124,119,NBB,28,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,0,BL,
20160826,S24,124,119,NBB,53,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1.00,0,BL,
