Date,Year,Month,SpawningMonth,Colony.ID,Bundle.ID,Egg.Rep,Area.mm2,Diameter.mm,vol.mm3
20170526,2017,May,1,146/326,B017,9,0.133,0.417,0.037967012
20170526,2017,May,1,146/326,B017,10,0.147,0.433,0.042507146
20170526,2017,May,1,146/326,B017,11,0.155,0.446,0.04645183
20170526,2017,May,1,146/326,B017,12,0.133,0.414,0.037153461
20170526,2017,May,1,146/326,B018,1,0.136,0.409,0.035823514
20170526,2017,May,1,146/326,B018,2,0.15,0.437,0.043696089
20170526,2017,May,1,146/326,B018,3,0.152,0.446,0.04645183
20170526,2017,May,1,146/326,B018,4,0.15,0.445,0.046140074
20170526,2017,May,1,146/326,B018,5,0.159,0.445,0.046140074
20170526,2017,May,1,146/326,B018,6,0.156,0.442,0.045213181
20170526,2017,May,1,146/326,B018,7,0.159,0.45,0.047712898
20170526,2017,May,1,146/326,B018,8,0.151,0.44,0.0446022
20170526,2017,May,1,146/326,B018,9,0.137,0.427,0.040764478
20170526,2017,May,1,146/326,B018,10,0.156,0.445,0.046140074
20170526,2017,May,1,146/326,B018,11,0.166,0.467,0.053327214
20170526,2017,May,1,146/326,B018,12,0.104,0.366,0.025670925
20170526,2017,May,1,146/326,B018,13,0.155,0.437,0.043696089
20170526,2017,May,1,146/326,B019,1,0.123,0.408,0.035561391
20170526,2017,May,1,146/326,B019,2,0.173,0.483,0.05899832
20170526,2017,May,1,146/326,B019,3,0.172,0.46,0.050964967
20170526,2017,May,1,146/326,B019,4,0.166,0.464,0.052306083
20170526,2017,May,1,146/326,B019,5,0.156,0.446,0.04645183
20170526,2017,May,1,146/326,B019,6,0.163,0.462,0.051632622
20170526,2017,May,1,146/326,B019,7,0.143,0.428,0.04105155
20170526,2017,May,1,146/326,B020,1,0.16,0.457,0.049974316
20170526,2017,May,1,146/326,B020,2,0.155,0.449,0.047395518
20170526,2017,May,1,146/326,B020,3,0.155,0.45,0.047712898
20170526,2017,May,1,146/326,B020,4,0.163,0.465,0.052644998
20170526,2017,May,1,146/326,B020,5,0.158,0.458,0.050303093
20170526,2017,May,1,146/326,B020,6,0.158,0.465,0.052644998
20170526,2017,May,1,146/326,B020,7,0.148,0.442,0.045213181
20170526,2017,May,1,146/326,B020,8,0.195,0.499,0.065057878
20170526,2017,May,1,146/326,B020,9,0.194,0.503,0.066634971
20170526,2017,May,1,146/326,B020,10,0.186,0.483,0.05899832
20170526,2017,May,1,117,B027,1,0.141,0.42,0.038792353
20170526,2017,May,1,117,B027,2,0.139,0.422,0.039349173
20170526,2017,May,1,117,B027,3,0.145,0.439,0.044298785
20170526,2017,May,1,117,B027,4,0.14,0.412,0.036617602
20170526,2017,May,1,117,B027,5,0.147,0.439,0.044298785
20170526,2017,May,1,117,B027,6,0.149,0.44,0.0446022
20170526,2017,May,1,117,B027,7,0.141,0.423,0.03962957
20170526,2017,May,1,117,B027,8,0.147,0.434,0.042802333
20170526,2017,May,1,117,B027,9,0.141,0.419,0.038515924
20170526,2017,May,1,117,B027,10,0.149,0.433,0.042507146
20170526,2017,May,1,117,B030,1,0.141,0.432,0.042213319
20170526,2017,May,1,117,B030,2,0.139,0.433,0.042507146
20170526,2017,May,1,117,B030,3,0.15,0.456,0.049646974
20170526,2017,May,1,117,B030,4,0.144,0.438,0.043996749
20170526,2017,May,1,117,B030,5,0.13,0.41,0.036086921
20170526,2017,May,1,117,B030,6,0.149,0.454,0.048996585
20170526,2017,May,1,117,B030,7,0.129,0.41,0.036086921
20170526,2017,May,1,117,B030,8,0.14,0.441,0.044906998
20170526,2017,May,1,117,B030,9,0.139,0.44,0.0446022
20170526,2017,May,1,117,B030,10,0.135,0.422,0.039349173
20170526,2017,May,1,117,B030,11,0.132,0.417,0.037967012
20170526,2017,May,1,117,B030,12,0.137,0.423,0.03962957
20170526,2017,May,1,117,B030,13,0.132,0.42,0.038792353
20170526,2017,May,1,117,B030,14,0.123,0.394,0.032024836
20170526,2017,May,1,117,B030,15,0.128,0.407,0.035300551
20170526,2017,May,1,118/330,B031,1,0.128,0.413,0.036884883
20170526,2017,May,1,118/330,B031,2,0.135,0.425,0.040194353
20170526,2017,May,1,118/330,B031,3,0.129,0.409,0.035823514
20170526,2017,May,1,118/330,B031,4,0.135,0.428,0.04105155
20170526,2017,May,1,118/330,B031,5,0.126,0.407,0.035300551
20170526,2017,May,1,118/330,B031,6,0.136,0.425,0.040194353
20170526,2017,May,1,118/330,B031,7,0.13,0.418,0.038240812
20170526,2017,May,1,118/330,B031,8,0.127,0.417,0.037967012
20170526,2017,May,1,118/330,B031,9,0.132,0.419,0.038515924
20170526,2017,May,1,118/330,B031,10,0.124,0.401,0.033762249
20170526,2017,May,1,118/330,B032,1,0.1048,0.36638,0.025750966
20170526,2017,May,1,118/330,B032,2,0.0819,0.32914,0.018669825
20170526,2017,May,1,118/330,B032,3,0.1283,0.41013,0.036121258
20170526,2017,May,1,118/330,B032,4,0.1198,0.41204,0.036628269
20170526,2017,May,1,118/330,B032,5,0.1235,0.41335,0.036978738
20170526,2017,May,1,118/330,B032,6,0.1154,0.37824,0.028333526
20170526,2017,May,1,118/330,B032,7,0.1335,0.4227,0.039545311
20170526,2017,May,1,118/330,B032,8,0.128,0.41517,0.037469349
20170526,2017,May,1,118/330,B032,9,0.127,0.40064,0.0336714
20170526,2017,May,1,118/330,B032,10,0.1367,0.43066,0.041821717
20170526,2017,May,1,118/330,B032,11,0.1377,0.44317,0.045573178
